Date,Open,High,Low,Close,Volume
2023-01-03,40.0000,40.2500,39.7500,40.0000,1500000
2023-01-04,40.0449,40.3108,39.7949,40.0608,1500000
2023-01-05,40.0896,40.3708,39.8396,40.1208,1500000
2023-01-06,40.1341,40.4292,39.8841,40.1792,1500000
2023-01-09,40.1780,40.4854,39.9280,40.2354,1500000
2023-01-10,40.2213,40.5386,39.9713,40.2886,1500000
2023-01-11,40.2639,40.5884,40.0139,40.3384,1500000
2023-01-12,40.3055,40.6343,40.0555,40.3843,1500000
2023-01-13,40.3460,40.6760,40.0960,40.4260,1500000
2023-01-16,40.3854,40.7133,40.1354,40.4633,1500000
2023-01-17,40.4235,40.7462,40.1735,40.4962,1500000
2023-01-18,40.4601,40.7747,40.2101,40.5247,1500000
2023-01-19,40.4951,40.7991,40.2451,40.5491,1500000
2023-01-20,40.5285,40.8198,40.2785,40.5698,1500000
2023-01-23,40.5602,40.8370,40.3102,40.5870,1500000
2023-01-24,40.5900,40.8513,40.3400,40.6013,1500000
2023-01-25,40.6180,40.8680,40.3633,40.6133,1500000
2023-01-26,40.6440,40.8940,40.3735,40.6235,1500000
2023-01-27,40.6680,40.9180,40.3825,40.6325,1500000
2023-01-30,40.6899,40.9399,40.3910,40.6410,1500000
2023-01-31,40.7098,40.9598,40.3993,40.6493,1500000
2023-02-01,40.7277,40.9777,40.4079,40.6579,1500000
2023-02-02,40.7434,40.9934,40.4173,40.6673,1500000
2023-02-03,40.7571,41.0071,40.4276,40.6776,1500000
2023-02-06,40.7688,41.0188,40.4391,40.6891,1500000
2023-02-07,40.7785,41.0285,40.4518,40.7018,1500000
2023-02-08,40.7863,41.0363,40.4656,40.7156,1500000
2023-02-09,40.7921,41.0421,40.4803,40.7303,1500000
2023-02-10,40.7962,41.0462,40.4957,40.7457,1500000
2023-02-13,40.7985,41.0485,40.5113,40.7613,1500000
2023-02-14,40.7992,41.0492,40.5268,40.7768,1500000
2023-02-15,40.7984,41.0484,40.5417,40.7917,1500000
2023-02-16,40.7961,41.0554,40.5461,40.8054,1500000
2023-02-17,40.7925,41.0675,40.5425,40.8175,1500000
2023-02-20,40.7878,41.0773,40.5378,40.8273,1500000
2023-02-21,40.7820,41.0846,40.5320,40.8346,1500000
2023-02-22,40.7753,41.0888,40.5253,40.8388,1500000
2023-02-23,40.7679,41.0898,40.5179,40.8398,1500000
2023-02-24,40.7599,41.0873,40.5099,40.8373,1500000
2023-02-27,40.7514,41.0813,40.5014,40.8313,1500000
2023-02-28,40.7426,41.0718,40.4926,40.8218,1500000
2023-03-01,40.7337,41.0590,40.4837,40.8090,1500000
2023-03-02,40.7248,41.0432,40.4748,40.7932,1500000
2023-03-03,40.7161,41.0249,40.4661,40.7749,1500000
2023-03-06,40.7078,41.0046,40.4578,40.7546,1500000
2023-03-07,40.6999,40.9829,40.4499,40.7329,1500000
2023-03-08,40.6927,40.9605,40.4427,40.7105,1500000
2023-03-09,40.6863,40.9383,40.4363,40.6883,1500000
2023-03-10,40.6808,40.9308,40.4169,40.6669,1500000
2023-03-13,40.6765,40.9265,40.3971,40.6471,1500000
